/* DATA DESCRIPTION:
Citation:	Martínez‐García, Alfredo; Rosell-Melé, Antoni; Jaccard, Samuel L; Geibert, Walter; Sigman, Daniel M; Haug, Gerald H (2011): (Fig. 2, 3) Iron and dust accumulation rates of ODP Site 177-1090 [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.767458, 
	In supplement to: Martínez‐García, A et al. (2011): Southern Ocean dust-climate coupling over the past four million years. Nature, 476(7360), 312-316, https://doi.org/10.1038/nature10310
Project(s):	Ocean Drilling Program (ODP) (URI: http://www-odp.tamu.edu/)
Coverage:	LATITUDE: -42.913617 * LONGITUDE: 8.899817
	DATE/TIME START: 1997-12-25T00:00:00 * DATE/TIME END: 1997-12-25T00:00:00
	MINIMUM ELEVATION: -3701.6 m * MAXIMUM ELEVATION: -3701.6 m
Event(s):	177-1090 * LATITUDE: -42.913617 * LONGITUDE: 8.899817 * DATE/TIME: 1997-12-25T00:00:00 * ELEVATION: -3701.6 m * Penetration: 936.4 m * Recovery: 874.9 m * LOCATION: South Atlantic Ocean * CAMPAIGN: Leg177 (URI: https://doi.org/10.2973/odp.proc.ir.177.1999) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE) * COMMENT: 101 cores; 936.4 m cored; 0 m drilled; 93.4% recovery
Parameter(s):	AGE [ka BP] (Age) * GEOCODE
	Accumulation rate, iron per year [mg/m**2/a] (Acc rate Fe) * PI: Martínez‐García, Alfredo * METHOD/DEVICE: Calculated
	Accumulation rate, dust [g/cm**2/ka] (DMAR) * PI: Martínez‐García, Alfredo * METHOD/DEVICE: Calculated * COMMENT: 0.3% Ti
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	12330 data points
*/
Age [ka BP]	Acc rate Fe [mg/m**2/a]	DMAR [g/cm**2/ka]
0.33	73.07	2.09
0.65	79.09	1.78
0.98	79.68	2.15
1.31	86.27	2.08
1.63	90.28	1.74
1.96	89.91	2.58
2.29	90.32	2.38
2.61	87.78	2.33
2.94	83.93	2.46
3.26	91.56	2.67
3.59	90.78	2.81
3.92	86.14	2.65
4.24	85.77	2.09
4.57	84.98	2.72
4.90	87.55	2.52
5.22	78.04	2.28
5.55	88.23	2.52
5.87	91.80	2.76
6.20	86.66	2.62
6.53	94.31	2.83
6.85	87.99	3.33
7.18	93.77	3.29
7.51	86.10	2.70
7.83	91.85	2.49
8.16	87.07	2.13
8.48	85.99	2.28
8.81	92.20	2.45
9.14	96.38	2.88
9.46	102.87	3.29
9.79	98.60	3.16
10.12	99.55	2.99
10.44	101.95	2.91
10.77	95.86	2.63
11.10	113.81	2.95
11.42	125.18	3.74
11.75	123.15	3.90
12.07	121.87	3.93
12.40	112.58	3.08
12.73	120.13	3.62
13.05	123.93	3.72
13.38	125.67	3.87
13.71	136.54	4.69
14.03	136.93	4.18
14.36	140.68	4.11
14.68	131.09	3.39
15.01	141.54	4.70
15.34	147.68	4.80
15.66	134.02	3.87
15.99	147.07	4.90
16.32	152.70	4.65
16.64	171.36	5.37
16.97	179.52	5.72
17.29	223.36	6.58
17.61	291.42	8.77
17.88	283.50	8.44
18.15	291.90	8.15
18.42	310.31	9.56
18.69	328.65	9.40
18.97	329.85	9.33
19.24	317.59	9.28
19.51	346.16	9.69
19.78	429.08	10.19
20.05	388.85	9.54
20.32	346.67	10.45
20.60	323.85	9.07
20.87	336.42	9.56
21.14	329.12	9.57
21.41	323.05	9.30
21.68	328.26	9.18
21.95	359.17	11.07
22.23	326.34	9.75
22.50	322.36	10.28
22.77	386.05	11.24
23.04	399.39	12.69
23.31	422.29	12.34
23.58	441.60	14.15
23.86	409.17	13.30
24.13	396.42	13.32
24.40	497.34	13.17
24.67	567.82	14.27
