Depth Age Value
0.025 1.31 7.67
0.05 1.37548 9
0.075 1.44096 10.67
0.1 1.50643 11
0.125 1.57191 10.33
0.15 1.63739 9
0.175 1.70287 9
0.2 1.76835 9
0.225 1.83383 9
0.25 1.8993 8.33
0.275 1.96478 8
0.3 2.03026 8.33
0.325 2.09574 8.33
0.35 2.16122 8.67
0.375 2.22669 9
0.4 2.29217 8.67
0.425 2.35765 8.67
0.45 2.42313 8.67
0.475 2.48861 8.33
0.5 2.55409 7.33
0.525 2.61956 6.33
0.55 2.68504 5.67
0.575 2.75052 6.33
0.6 2.816 7
0.625 2.88148 6.67
0.65 2.94695 6.67
0.675 3.01243 6
0.7 3.07791 5
0.725 3.14339 5.67
0.75 3.20887 5
0.775 3.27435 4.67
0.8 3.33982 5.33
0.825 3.4053 5.33
0.85 3.47078 4.33
0.875 3.53626 5
0.9 3.60174 5.33
0.925 3.66721 5.67
0.95 3.73269 5.67
0.975 3.79817 6.33
1 3.86365 6.67
1.025 3.92913 6.67
1.05 3.99461 6.33
1.075 4.06008 6.33
1.1 4.12556 6.67
1.125 4.19104 7.33
1.15 4.25652 7.33
1.175 4.322 6.33
1.2 4.38748 7
1.225 4.45295 7
1.25 4.51843 7
1.275 4.58391 6.67
1.3 4.64939 7.33
1.325 4.71487 7
1.35 4.78034 7
1.375 4.84582 7.33
1.4 4.9113 7.33
1.425 4.97678 7.33
1.45 5.04226 6.67
1.475 5.10774 6
1.525 5.23869 5.67
1.55 5.30417 5.67
1.575 5.36965 5.67
1.6 5.43513 6.33
1.625 5.5006 6.67
1.65 5.56608 6.33
1.675 5.63156 6.67
1.7 5.69704 6.33
1.725 5.76252 6.67
1.75 5.828 7
1.775 5.89347 6.67
1.8 5.95895 6
1.825 6.02443 6
1.85 6.08991 6.67
1.875 6.15539 6.67
1.9 6.22086 6.33
1.925 6.28634 6
1.95 6.35182 5.67
1.975 6.4173 5.33
2 6.48278 5.67
2.025 6.54826 6.67
2.05 6.61373 6.67
2.075 6.67921 7
2.1 6.74469 7
2.125 6.81017 6.33
2.15 6.87565 7
2.175 6.94112 7
2.2 7.0066 6.67
2.225 7.07208 6.67
2.25 7.13756 6.67
2.275 7.20304 7
2.3 7.26852 7
2.325 7.33399 7.33
2.35 7.39947 7.67
2.375 7.46495 8
2.4 7.53043 7.33
2.425 7.59591 7.33
2.45 7.66138 7
2.475 7.72686 7.33
2.5 7.79234 7
2.525 7.85782 7
2.55 7.9233 7.33
2.575 7.98878 7.33
2.6 8.05425 7
2.625 8.11973 7
2.65 8.18521 7
2.675 8.25069 7.33
2.7 8.31617 7.67
2.725 8.38164 7.33
2.75 8.44712 7
2.775 8.5126 7
2.8 8.57808 7
2.825 8.64356 6.67
2.85 8.70904 7.33
2.875 8.77451 7
2.9 8.83999 7
2.925 8.90547 6.67
2.95 8.97095 6.67
2.975 9.03643 6.67
3.024 9.16476 5.67
3.049 9.23024 5.67
3.074 9.29572 6
3.099 9.3612 6.33
3.124 9.42668 6.33
3.149 9.49215 6.33
3.174 9.55763 6.67
3.199 9.62311 6.33
3.224 9.68859 5.67
3.249 9.75407 6.33
3.274 9.81955 5.67
3.299 9.88502 5.67
3.324 9.9505 6
3.349 10.016 6.67
3.374 10.0815 6.33
3.399 10.1469 5.67
3.424 10.2124 5.67
3.449 10.2779 5.67
3.474 10.3434 6
3.499 10.4088 6.33
3.524 10.4743 6.33
3.549 10.5398 7.33
3.574 10.6053 6.33
3.599 10.6708 7.33
3.624 10.7362 7
3.649 10.8017 7.33
3.674 10.8672 7.33
3.699 10.9327 6.67
3.724 10.9982 6.33
3.749 11.0636 6.33
3.774 11.1291 6.33
3.799 11.1946 6.33
3.824 11.2601 6.33
3.849 11.3255 6.67
3.874 11.391 6.67
3.899 11.4565 6.67
3.924 11.522 7
3.949 11.5875 7.33
3.974 11.6529 7
3.999 11.7184 7.67
4.024 11.7839 7
4.049 11.8494 6.33
4.074 11.9148 6.33
4.099 11.9803 6.67
4.124 12.0458 6.67
4.149 12.1113 5.67
4.174 12.1768 6.67
4.199 12.2422 6.33
4.224 12.3077 6.33
4.249 12.3732 6.67
4.274 12.4387 6.67
4.299 12.5042 7
4.324 12.5696 7
4.349 12.6351 6.67
4.374 12.7006 6.67
4.399 12.7661 7.33
4.424 12.8315 6.67
4.449 12.897 6
4.474 12.9625 5.67
4.522 13.0882 6
4.547 13.1537 5.67
4.572 13.2192 5.67
4.597 13.2847 5.33
4.622 13.3501 5.67
4.647 13.4156 5.67
4.672 13.4811 6
4.697 13.5466 6.67
4.722 13.612 6.67
4.747 13.6775 7.67
4.772 13.743 7.33
4.797 13.8085 7.67
4.822 13.874 7.67
4.847 13.9394 7.67
4.872 14.0049 7.33
4.897 14.0704 7.33
4.922 14.1359 7.33
4.947 14.2013 7
4.972 14.2668 7
4.997 14.3323 7.67
5.022 14.3978 7.67
5.047 14.4633 8.33
5.072 14.5287 8
5.097 14.5942 7.67
5.122 14.6597 7.33
5.147 14.7252 7.33
5.172 14.7907 6.67
5.197 14.8561 7.33
5.222 14.9216 8
5.247 14.9871 8
5.272 15.0526 8
5.297 15.118 9.33
5.322 15.1835 9
5.347 15.249 9
5.372 15.3145 9
5.397 15.38 9
5.422 15.4454 8.33
5.447 15.5109 7.67
5.472 15.5764 9
5.497 15.6419 9.33
5.522 15.7073 9.67
5.547 15.7728 10
5.572 15.8383 10
5.599 15.909 10
5.624 15.9745 10.33
5.649 16.04 11.67
5.674 16.1055 12.33
5.699 16.1709 12
5.724 16.2364 11.67
5.749 16.3019 12.33
5.774 16.3674 14.33
5.799 16.4328 15
5.824 16.4983 16
5.849 16.5638 19.67
5.874 16.6293 28.33
5.899 16.6948 33.33
5.924 16.7602 31.67
5.949 16.8257 22
5.974 16.8912 11.33
5.999 16.9567 6.67
6.024 17.0221 6.33
6.049 17.0876 6.67
6.074 17.1531 8.33
6.099 17.2186 15
6.124 17.2841 8.33
6.149 17.3495 7
6.174 17.415 6.33
6.199 17.4805 6.33
6.224 17.546 5.67
6.249 17.6115 5.67
6.274 17.6769 5.67
6.299 17.7424 6.33
6.324 17.8079 7
6.349 17.8734 7
6.374 17.9388 8.67
6.399 18.0043 7
6.424 18.0698 6
6.449 18.1353 6
6.474 18.2008 6
6.499 18.2662 6
6.524 18.3317 6.33
6.549 18.3972 6.67
6.574 18.4627 7
6.599 18.5281 7
6.624 18.5936 7
6.649 18.6591 7
6.723 18.8529 11.33
6.748 18.9184 11.67
6.773 18.9839 11.67
6.798 19.0494 10
6.823 19.1148 8.33
6.848 19.1803 8.33
6.873 19.2458 7.33
6.898 19.3113 6.67
6.923 19.3767 6.67
6.948 19.4422 5.67
6.973 19.5077 5.33
6.998 19.5732 6
7.023 19.6387 6.33
